Order Number,Customer Number,Order Status,Total Price,Order Date,Order Priority,Clerk,Shipping Priority,Comment
1,95,O,1804.01,2020-01-01 00:00:00.000000000,3-MEDIUM,Clerk#000000020,5,Order processed smoothly 1
2,1167,P,3018.72,2020-01-01 01:45:07.620508033,3-MEDIUM,Clerk#000000021,7,Order processed smoothly 2
3,883,P,3361.33,2020-01-01 03:30:15.241016067,3-MEDIUM,Clerk#000000084,9,Order processed smoothly 3
4,918,O,1086.7,2020-01-01 05:15:22.861524101,3-MEDIUM,Clerk#000000096,2,Order processed smoothly 4
5,1210,O,3391.33,2020-01-01 07:00:30.482032135,2-HIGH,Clerk#000000027,8,Order processed smoothly 5
6,186,P,3289.05,2020-01-01 08:45:38.102540169,4-LOW,Clerk#000000093,4,Order processed smoothly 6
7,258,O,1349.46,2020-01-01 10:30:45.723048203,2-HIGH,Clerk#000000064,2,Order processed smoothly 7
8,969,P,1797.02,2020-01-01 12:15:53.343556237,4-LOW,Clerk#000000097,2,Order processed smoothly 8
9,1414,F,4160.73,2020-01-01 14:01:00.964064270,2-HIGH,Clerk#000000087,0,Order processed smoothly 9
10,1135,O,1813.01,2020-01-01 15:46:08.584572304,4-LOW,Clerk#000000070,1,Order processed smoothly 10
11,668,O,3279.01,2020-01-01 17:31:16.205080338,1-URGENT,Clerk#000000073,8,Order processed smoothly 11
12,151,P,4875.94,2020-01-01 19:16:23.825588372,3-MEDIUM,Clerk#000000031,1,Order processed smoothly 12
13,828,F,2354.51,2020-01-01 21:01:31.446096406,4-LOW,Clerk#000000026,1,Order processed smoothly 13
14,761,P,1664.31,2020-01-01 22:46:39.066604440,5-VERY LOW,Clerk#000000062,3,Order processed smoothly 14
15,980,O,3711.43,2020-01-02 00:31:46.687112474,5-VERY LOW,Clerk#000000059,5,Order processed smoothly 15
16,1200,F,1235.98,2020-01-02 02:16:54.307620508,4-LOW,Clerk#000000037,3,Order processed smoothly 16
17,460,P,2208.9,2020-01-02 04:02:01.928128541,2-HIGH,Clerk#000000080,5,Order processed smoothly 17
18,1076,P,4768.95,2020-01-02 05:47:09.548636575,1-URGENT,Clerk#000000077,3,Order processed smoothly 18
19,1260,O,1865.88,2020-01-02 07:32:17.169144609,4-LOW,Clerk#000000019,9,Order processed smoothly 19
20,1093,O,3283.78,2020-01-02 09:17:24.789652643,3-MEDIUM,Clerk#000000084,9,Order processed smoothly 20
21,1331,O,2529.03,2020-01-02 11:02:32.410160677,3-MEDIUM,Clerk#000000026,0,Order processed smoothly 21
22,649,O,3995.2,2020-01-02 12:47:40.030668711,5-VERY LOW,Clerk#000000005,3,Order processed smoothly 22
23,101,O,2832.9,2020-01-02 14:32:47.651176745,2-HIGH,Clerk#000000058,1,Order processed smoothly 23
24,164,F,4650.66,2020-01-02 16:17:55.271684779,1-URGENT,Clerk#000000077,5,Order processed smoothly 24
25,566,O,1923.6,2020-01-02 18:03:02.892192812,5-VERY LOW,Clerk#000000005,9,Order processed smoothly 25
26,1488,P,4108.82,2020-01-02 19:48:10.512700846,2-HIGH,Clerk#000000092,6,Order processed smoothly 26
27,1042,F,2040.27,2020-01-02 21:33:18.133208880,1-URGENT,Clerk#000000040,4,Order processed smoothly 27
28,1494,P,3842.3,2020-01-02 23:18:25.753716914,2-HIGH,Clerk#000000018,9,Order processed smoothly 28
29,572,O,1201.55,2020-01-03 01:03:33.374224948,3-MEDIUM,Clerk#000000023,3,Order processed smoothly 29
30,323,O,2179.26,2020-01-03 02:48:40.994732982,2-HIGH,Clerk#000000054,2,Order processed smoothly 30
31,584,P,4129.73,2020-01-03 04:33:48.615241016,2-HIGH,Clerk#000000052,8,Order processed smoothly 31
32,1435,F,3465.74,2020-01-03 06:18:56.235749049,5-VERY LOW,Clerk#000000091,5,Order processed smoothly 32
33,1,F,1123.11,2020-01-03 08:04:03.856257083,5-VERY LOW,Clerk#000000052,4,Order processed smoothly 33
34,609,O,1800.09,2020-01-03 09:49:11.476765117,3-MEDIUM,Clerk#000000097,4,Order processed smoothly 34
35,265,O,1232.64,2020-01-03 11:34:19.097273151,4-LOW,Clerk#000000008,2,Order processed smoothly 35
36,320,P,4717.45,2020-01-03 13:19:26.717781185,4-LOW,Clerk#000000056,7,Order processed smoothly 36
37,72,F,4072.81,2020-01-03 15:04:34.338289219,5-VERY LOW,Clerk#000000021,8,Order processed smoothly 37
38,443,F,1776.85,2020-01-03 16:49:41.958797253,1-URGENT,Clerk#000000065,3,Order processed smoothly 38
39,93,P,2578.32,2020-01-03 18:34:49.579305287,1-URGENT,Clerk#000000012,4,Order processed smoothly 39
40,880,F,2171.4,2020-01-03 20:19:57.199813320,2-HIGH,Clerk#000000067,6,Order processed smoothly 40
41,284,O,3233.97,2020-01-03 22:05:04.820321354,3-MEDIUM,Clerk#000000020,0,Order processed smoothly 41
42,1358,F,1561.84,2020-01-03 23:50:12.440829388,2-HIGH,Clerk#000000009,1,Order processed smoothly 42
43,1429,P,4460.1,2020-01-04 01:35:20.061337422,5-VERY LOW,Clerk#000000079,8,Order processed smoothly 43
44,358,P,4063.35,2020-01-04 03:20:27.681845456,1-URGENT,Clerk#000000020,7,Order processed smoothly 44
45,1170,O,1191.74,2020-01-04 05:05:35.302353490,2-HIGH,Clerk#000000081,2,Order processed smoothly 45
46,881,O,4897.79,2020-01-04 06:50:42.922861524,4-LOW,Clerk#000000056,4,Order processed smoothly 46
47,1113,P,4517.56,2020-01-04 08:35:50.543369558,2-HIGH,Clerk#000000065,4,Order processed smoothly 47
48,1093,F,1032.07,2020-01-04 10:20:58.163877591,5-VERY LOW,Clerk#000000051,2,Order processed smoothly 48
49,12,O,4491.75,2020-01-04 12:06:05.784385625,4-LOW,Clerk#000000004,8,Order processed smoothly 49
50,1083,O,4451.83,2020-01-04 13:51:13.404893659,4-LOW,Clerk#000000078,9,Order processed smoothly 50
51,524,F,2126.06,2020-01-04 15:36:21.025401693,1-URGENT,Clerk#000000093,2,Order processed smoothly 51
